City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
0,Hilo,US,80.6,19.73,-155.09,overcast clouds,Hilo Hawaiian Hotel
5,Vaini,TO,78.8,-21.2,-175.2,few clouds,Keleti Beach Resort
10,Kavieng,PG,83.16,-2.57,150.8,scattered clouds,Nusa Island Retreat
14,Isangel,VU,80.89,-19.55,169.27,clear sky,Volcano Sea View Tree House
18,Arraial Do Cabo,BR,75.2,-22.97,-42.03,broken clouds,Pousada Porto Praia
27,Butaritari,KI,81.05,3.07,172.79,overcast clouds,Isles Sunset Lodge
29,Conceicao Da Barra,BR,76.05,-18.59,-39.73,clear sky,Cricaré Praia Hotel
32,Ormara,PK,76.03,25.21,64.64,clear sky,
38,Taoudenni,ML,85.95,22.68,-3.98,broken clouds,
43,Lorengau,PG,81.95,-2.02,147.27,few clouds,Lorengau Harbourside Hotel
53,Samarai,PG,81.41,-10.62,150.67,light rain,Nuli Sapi
67,Kupang,ID,78.75,-10.17,123.58,few clouds,Sylvia Hotel Premier Kupang
68,Victoria,HK,78.01,22.29,114.16,clear sky,Mini Hotel Central
69,Georgetown,MY,78.8,5.41,100.34,scattered clouds,Cititel Penang
84,Namatanai,PG,81.68,-3.67,152.43,broken clouds,Namatanai Hotel
88,Port-Gentil,GA,78.8,-0.72,8.78,thunderstorm,Fengshui Residence
91,Jiwani,PK,75.47,25.05,61.74,clear sky,Al Mumtaz Transport Jiwani
94,Grajau,BR,79.84,-5.82,-46.14,broken clouds,Hotel Confiança
95,Masunga,BW,80.06,-20.62,27.45,clear sky,
100,Hobyo,SO,79.41,5.35,48.53,broken clouds,Osmani Hotel
103,Lufilufi,WS,84.2,-13.87,-171.6,broken clouds,Leuaina Beach Resort and Spa
106,Mount Isa,AU,77.0,-20.73,139.5,few clouds,ibis Styles Mt Isa Verona
107,Dhandhuka,IN,76.86,22.37,71.98,clear sky,Amin Auto
114,San Carlos De Bariloche,AR,75.2,-41.15,-71.31,scattered clouds,Hotel Patagonia
122,Vila Velha,BR,77.0,-20.33,-40.29,broken clouds,Hotel Vitória Palace
124,Hambantota,LK,79.14,6.12,81.12,light rain,Bungalow 63
126,Faanui,PF,78.93,-16.48,-151.75,broken clouds,Bora-Bora Pearl Beach Resort & Spa
127,Port Blair,IN,80.96,11.67,92.75,clear sky,Fortune Resort Bay Island
128,Mecca,SA,77.5,21.43,39.83,clear sky,Hotel Fairmont Makkah Clock Royal Tower
133,San Patricio,US,82.4,28.02,-97.52,few clouds,"Motel 6 Sinton, TX"
136,Kapaa,US,82.4,22.08,-159.32,scattered clouds,Sheraton Kauai Resort at Coconut Beach
139,Palmer,US,77.0,42.16,-72.33,scattered clouds,Wedgewood Motel
141,Imbituba,BR,75.2,-28.24,-48.67,few clouds,Praia Hotel Imbituba
146,Atuona,PF,77.86,-9.8,-139.03,broken clouds,Villa Enata
148,Sibolga,ID,77.0,1.74,98.78,light rain,Hotel Syariah CN Darussalam
150,Binga,ZW,84.27,-17.62,27.34,clear sky,Lakeview Inn Binga
151,Boa Vista,BR,78.8,2.82,-60.67,moderate rain,Aipana Plaza Hotel
152,Dentsville,US,80.6,34.06,-80.96,broken clouds,Columbia Northeast Hotel
155,Touros,BR,82.4,-5.2,-35.46,scattered clouds,INN NEW HORIZON
167,Alofi,NU,77.0,-19.06,-169.92,light intensity drizzle,Taloa Heights
168,Progreso,MX,84.99,21.28,-89.67,broken clouds,Playa Linda Hotel
172,Inirida,CO,84.11,3.87,-67.92,moderate rain,Fuente del Guania Hotel de Lujo
178,Tucupita,VE,79.68,9.06,-62.05,heavy intensity rain,Hotel Tucupita Su​ite C.A.
179,Kahului,US,84.2,20.89,-156.47,scattered clouds,Maui Seaside Hotel
182,Sao Filipe,CV,79.7,14.9,-24.5,light rain,Tortuga B&B
184,Sikonge,TZ,75.7,-5.63,32.77,few clouds,Daukilo Lodge
185,Bima,ID,76.64,-8.47,118.72,overcast clouds,Lambitu Hotel
193,Praya,CV,78.8,14.92,-23.51,clear sky,LT Aparthotel
197,Guijalo,PH,78.76,13.74,123.87,overcast clouds,LBB Ricardo's Inn Unit A
200,Ojinaga,MX,82.4,29.57,-104.42,clear sky,Suites Las Palmas
205,Cabo San Lucas,MX,84.0,22.89,-109.91,scattered clouds,Hotel Tesoro Los Cabos
