City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hilo,US,19.73,-155.09,80.6,69,90,6.93,overcast clouds
1,Jamestown,US,42.1,-79.24,68.0,34,1,5.82,clear sky
2,Adre,TD,13.47,22.2,73.15,26,9,7.29,clear sky
3,Longyearbyen,SJ,78.22,15.64,28.4,86,20,2.24,few clouds
4,Hermanus,ZA,-34.42,19.23,62.01,76,0,8.01,clear sky
5,Vaini,TO,-21.2,-175.2,78.8,74,20,6.93,few clouds
6,Saskylakh,RU,71.92,114.08,-8.66,89,3,7.34,clear sky
7,Cape Town,ZA,-33.93,18.42,62.01,82,75,17.22,light rain
8,Nikolskoye,RU,59.7,30.79,48.2,87,90,15.66,light rain
9,Ushuaia,AR,-54.8,-68.3,60.8,41,75,12.75,broken clouds
10,Kavieng,PG,-2.57,150.8,83.16,68,44,7.52,scattered clouds
11,Albany,US,42.6,-73.97,69.8,43,75,5.82,broken clouds
12,Gevrai,IN,19.27,75.75,66.11,63,0,5.93,clear sky
13,Bemidji,US,47.47,-94.88,57.99,71,75,4.88,broken clouds
14,Isangel,VU,-19.55,169.27,80.89,71,0,7.76,clear sky
15,Dauriya,RU,49.93,116.87,8.06,92,0,8.55,clear sky
16,Karpogory,RU,64.0,44.45,35.15,96,100,9.75,light rain
17,Mataura,NZ,-46.19,168.86,51.01,55,65,11.01,light rain
18,Arraial Do Cabo,BR,-22.97,-42.03,75.2,69,75,6.93,broken clouds
19,Husavik,IS,66.04,-17.34,46.4,77,75,5.82,light intensity drizzle
20,Geraldton,AU,-28.77,114.6,68.0,77,90,6.93,overcast clouds
21,Chabahar,IR,25.29,60.64,69.8,83,0,6.89,clear sky
22,Palana,RU,59.12,159.97,25.45,92,96,5.64,overcast clouds
23,Dikson,RU,73.51,80.55,-2.87,89,43,11.3,scattered clouds
24,Kruisfontein,ZA,-34.0,24.73,62.01,79,0,4.74,clear sky
25,Mandalgovi,MN,45.76,106.27,26.06,70,0,7.85,clear sky
26,Yar-Sale,RU,66.83,70.83,27.12,99,97,2.91,overcast clouds
27,Butaritari,KI,3.07,172.79,81.05,72,100,10.67,overcast clouds
28,Dauphin,CA,51.15,-100.05,28.4,90,90,10.45,overcast clouds
29,Conceicao Da Barra,BR,-18.59,-39.73,76.05,83,0,4.74,clear sky
30,East London,ZA,-33.02,27.91,69.37,81,0,10.92,clear sky
31,Castro,BR,-24.79,-50.01,71.47,51,0,3.6,clear sky
32,Ormara,PK,25.21,64.64,76.03,46,0,4.54,clear sky
33,Port Elizabeth,ZA,-33.92,25.57,62.6,93,1,5.82,clear sky
34,Punta Arenas,CL,-53.15,-70.92,60.8,51,40,31.09,scattered clouds
35,Gorele,TR,41.03,39.0,55.4,82,75,8.05,light intensity shower rain
36,Srednekolymsk,RU,67.45,153.68,-4.92,91,96,8.1,overcast clouds
37,Sheltozero,RU,61.37,35.37,46.11,79,69,18.43,broken clouds
38,Taoudenni,ML,22.68,-3.98,85.95,14,62,11.12,broken clouds
39,Abu Samrah,SY,35.3,37.18,61.63,63,0,6.69,clear sky
40,Ancud,CL,-41.87,-73.82,64.4,52,0,9.17,clear sky
41,Waslala,NI,13.23,-85.38,68.0,100,90,4.68,overcast clouds
42,Iranshahr,IR,27.2,60.68,66.2,17,0,6.93,clear sky
43,Lorengau,PG,-2.02,147.27,81.95,69,23,7.61,few clouds
44,New Norfolk,AU,-42.78,147.06,48.0,69,5,1.01,clear sky
45,Busselton,AU,-33.65,115.33,55.0,66,50,3.2,scattered clouds
46,Krasnaya Gora,RU,53.0,31.6,48.2,93,75,15.66,broken clouds
47,Port Alfred,ZA,-33.59,26.89,68.41,90,1,7.56,clear sky
48,Jaranwala,PK,31.33,73.43,61.95,28,0,2.51,clear sky
49,Pevek,RU,69.7,170.31,16.29,96,99,2.62,overcast clouds
50,Ospitaletto,IT,45.13,10.6,51.01,96,5,1.01,clear sky
51,Homer,US,59.64,-151.55,35.01,86,90,4.7,overcast clouds
