City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.42,19.23,68.0,79,79,8.99,ZA,2020-11-04 20:03:09
1,Hilo,19.73,-155.09,80.6,74,90,5.82,US,2020-11-04 20:03:09
2,Albany,42.6,-73.97,59.0,42,2,7.09,US,2020-11-04 20:03:10
3,Port Macquarie,-31.43,152.92,57.0,98,62,6.42,AU,2020-11-04 20:03:10
4,Ushuaia,-54.8,-68.3,64.4,36,0,5.82,AR,2020-11-04 19:58:37
5,Kruisfontein,-34.0,24.73,69.01,82,100,4.0,ZA,2020-11-04 20:02:09
6,Faanui,-16.48,-151.75,79.41,78,92,15.26,PF,2020-11-04 20:03:11
7,Punta Arenas,-53.15,-70.92,46.4,81,90,8.05,CL,2020-11-04 20:03:11
8,Thompson,55.74,-97.86,26.6,100,90,3.36,CA,2020-11-04 20:03:11
9,Busselton,-33.65,115.33,52.0,78,100,5.99,AU,2020-11-04 20:01:50
10,Loiza,18.43,-65.88,87.8,58,40,17.22,PR,2020-11-04 20:03:12
11,Yellowknife,62.46,-114.35,3.0,84,75,3.36,CA,2020-11-04 20:03:12
12,Det Udom,14.91,105.08,71.6,88,100,8.05,TH,2020-11-04 20:03:12
13,Ibra,22.69,58.53,60.48,60,0,1.03,OM,2020-11-04 20:03:13
14,Tiksi,71.69,128.87,0.82,94,100,4.74,RU,2020-11-04 20:02:10
15,Kahului,20.89,-156.47,84.2,58,40,7.02,US,2020-11-04 20:03:13
16,Ribeira Grande,38.52,-28.7,60.8,63,75,9.17,PT,2020-11-04 20:03:14
17,Vila Velha,-20.33,-40.29,75.99,78,90,6.93,BR,2020-11-04 20:00:20
18,Tasiilaq,65.61,-37.64,33.8,50,40,9.17,GL,2020-11-04 20:03:15
19,Christchurch,-43.53,172.63,73.4,46,4,10.29,NZ,2020-11-04 20:03:00
20,Xichang,27.9,102.26,57.74,77,95,1.07,CN,2020-11-04 20:03:16
21,Khatanga,71.97,102.5,-6.29,90,15,8.19,RU,2020-11-04 20:01:51
